Date,AVUV,BIL,DFSVX,DXY,EFV,FBTC,FGBPX,FIKQX,FIWDX,FRDM,FSRIX,IMCB,JBND,JIVE,JMSFX,JMSIX,JPIE,MGK,MGV,MTUM,NERYX,PIMIX,SPHB,VEU,VFINX,VIX,VOO,WOBDX,XLF,XLG,XLRE,XLV
1977-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,
1977-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,,,,,
1977-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,,,,,
1977-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,,,,,
1977-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,,,,,
1977-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,,,,,
1977-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,,,,,
1977-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,,,,,
1977-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,,,,,
1977-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,,,,,
1977-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,,,,,
1977-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,,,,,
1977-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,
1977-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,,,,,
1977-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,,,,,
1977-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,,,,,
1977-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,,,,,
1977-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,,,,,
1977-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,,,,,
1977-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,
1977-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,,,,,
1977-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,,,,,
1977-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,,,,,
1977-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,,,,,
1977-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,,,,,
1977-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,,,,,
1977-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,
1977-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,,,,,
1977-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,
1977-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,
1977-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,,,,,
