Date,VOO Benchmark,A1V12 Tactical Sleeve,MWM Aggressive,MWM Balanced,MWM Conservative,MWM Growth,MWM Growth Plus,MWM Moderate,MWM Ultra Aggressive,Tactical Aggressive,Tactical Balanced,Tactical Conservative,Tactical Growth,Tactical Growth Plus,Tactical Moderate,Tactical Ultra Aggressive
2018-09-05,264774.0076259443,278879.03600647056,218723.43657580312,175425.26007412464,153176.6923309747,206482.20178648012,212554.17446265876,199615.09077713228,231717.7882273892,224669.33637035094,178411.19191586194,154769.18430758736,211520.5581209996,218038.15232898932,204284.75708662273,237516.5061726849
2018-09-06,263996.46756264585,277356.9300542799,218112.60568453182,175163.19807474734,153068.69341226981,205980.59862308062,211999.19664990366,199159.43482525522,230881.0992476198,223784.72235546773,178019.96436403936,154595.15470803808,210791.4917238127,217233.13456845185,203618.53589336245,236430.9077823798
2018-09-07,263358.4266743556,276937.8064720068,217395.65073991884,174796.97865364514,152804.82852466786,205351.89608556876,211327.23045277037,198669.97418616293,230088.5794135236,223130.57971399606,177687.80244034273,154349.51616111767,210216.30743514307,216619.25792229554,203182.21741490264,235679.27906595526
2018-09-10,263856.8993542714,277268.6702611326,217682.1053285544,174885.1301061735,152831.74604866898,205585.20429759444,211586.5081852683,198835.35880390235,230350.39919176395,223425.87667696597,177774.87975577454,154375.38612894856,210456.21895880834,216886.20725367306,203347.30488444088,236031.85905297284
2018-09-11,264853.8619724447,279077.5763669814,218342.03994634372,175157.6765604183,152945.37698381938,206128.27503642952,212186.69750014856,199307.26650136441,231217.7850764903,224293.27192070373,178148.1413155946,154540.29347063272,211171.2817654548,217675.6654811968,203983.9930188518,236986.67154106798
2018-09-12,264883.7016450401,278856.99314521905,218433.91414447653,175222.63261105705,153000.95975614002,206213.44090100858,212275.17408263037,199382.65861260967,231338.25092078865,224315.80892968373,178178.48380378456,154577.86265763105,211198.40825100546,217700.5825272797,204003.8897141691,237069.76870990958
2018-09-13,266389.1122645637,280842.28631515056,219542.24680410023,175766.1755728532,153326.6255282565,207158.82058309249,213300.30046642156,200195.2437899837,232613.2901295473,225615.36607603863,178808.80802102626,154947.28413102322,212301.70156450948,218899.82891213783,204959.71465918215,238536.90823199757
2018-09-14,266528.61143957183,280445.31602930557,219664.82003624647,175833.17194323294,153340.14327985363,207253.54184192687,213408.60929738148,200330.2098345166,232761.93304503057,225518.62523437085,178770.24789034363,154905.45959982087,212212.49625146377,218806.90939435162,204926.63976944966,238463.8015137288
2018-09-17,265023.2698534146,277379.0170896021,218602.66799565055,175293.57953516216,153044.02719534974,206357.57906160827,212431.37304751782,199487.5321211729,231346.72752392487,223936.86300100182,177981.6517162305,154481.54880344748,210884.14737198263,217354.7525088708,203679.48148121082,236636.0769936465
2018-09-18,266468.7422526235,279320.2466240659,219697.37708569024,175783.8529094353,153263.71446781728,207262.23650175153,213428.91768681712,200317.05888623337,232659.46580900642,225193.1886411386,178545.88145001556,154737.8991063464,211921.5742837346,218499.08117958804,204632.88274002585,238072.78316477928
2018-09-19,266767.8638289244,279518.7869845767,220006.34968967355,175958.04560270748,153347.01496126145,207518.39416731527,213710.88571493642,200605.19204837058,232985.19613854567,225391.8503352362,178668.97954952507,154794.0087295873,212084.74970679046,218679.5792980502,204840.84812047562,238213.5540456996
2018-09-20,268911.1427533225,281835.05437881063,221743.2369158388,176724.95229500267,153742.4566560018,208972.56458759663,215303.26081665538,201836.5446745494,235100.19993111124,227131.58451839187,179431.35872637975,155184.68634816835,213537.73816774206,220272.626109586,206071.96822268266,240265.07821622016
2018-09-21,268721.7497128005,280974.7201789422,221570.2912411587,176680.61609826333,153746.99201634148,208838.13883997774,215150.05031919284,201729.31832466627,234805.37481079213,226754.89048502338,179288.2323346792,155138.352220269,213233.6175993988,219933.11062850905,205804.74254573102,239836.1342734669
