Asset,Month,Dividend_Per_Share,Income_on_100k_Initial_Investment
FIWDX,2021-07,0.029,239.6694139316838
FIWDX,2021-08,0.028,231.4049513823154
FIWDX,2021-09,0.027,223.140488832947
FIWDX,2021-10,0.027,223.140488832947
FIWDX,2021-11,0.027,223.140488832947
FIWDX,2021-12,0.253,2090.9090249902065
FIWDX,2022-01,0.027,223.140488832947
FIWDX,2022-02,0.038,314.0495768759995
FIWDX,2022-03,0.029,239.6694139316838
FIWDX,2022-04,0.029,239.6694139316838
FIWDX,2022-05,0.031,256.19833903042064
FIWDX,2022-06,0.031,256.19833903042064
FIWDX,2022-07,0.034,280.9917266785259
FIWDX,2022-08,0.034,280.9917266785259
FIWDX,2022-09,0.033,272.72726412915745
FIWDX,2022-10,0.036,297.52065177726263
FIWDX,2022-11,0.036,297.52065177726263
FIWDX,2022-12,0.066,545.4545282583149
FIWDX,2023-01,0.039,322.31403942536787
FIWDX,2023-02,0.036,297.52065177726263
FIWDX,2023-03,0.038,314.04957687599943
FIWDX,2023-04,0.038,314.04957687599943
FIWDX,2023-05,0.04,330.5785019747363
FIWDX,2023-06,0.038,314.04957687599943
FIWDX,2023-07,0.04,330.5785019747363
FIWDX,2023-08,0.04,330.5785019747363
FIWDX,2023-09,0.039,322.31403942536787
FIWDX,2023-10,0.042,347.1074270734731
FIWDX,2023-11,0.039,322.31403942536787
FIWDX,2023-12,0.07100000000000001,586.7768410051569
FIWDX,2024-01,0.041,338.84296452410473
FIWDX,2024-02,0.039,322.31403942536787
FIWDX,2024-03,0.042,347.1074270734731
FIWDX,2024-04,0.041,338.84296452410473
FIWDX,2024-05,0.042,347.1074270734731
FIWDX,2024-06,0.041,338.84296452410473
FIWDX,2024-07,0.042,347.1074270734731
FIWDX,2024-08,0.039,322.31403942536787
FIWDX,2024-09,0.035,289.25618922789425
FIWDX,2024-10,0.041,338.84296452410473
FIWDX,2024-11,0.039,322.31403942536787
FIWDX,2024-12,0.052,429.75205256715714
FIWDX,2025-01,0.039,322.31403942536787
FIWDX,2025-02,0.035,289.25618922789425
FIWDX,2025-03,0.04,330.5785019747363
FIWDX,2025-04,0.038,314.04957687599943
FIWDX,2025-05,0.04,330.5785019747363
FIWDX,2025-06,0.039,322.31403942536787
FIWDX,2025-07,0.04,330.5785019747363
FIWDX,2025-08,0.041,338.84296452410473
FIWDX,2025-09,0.04,330.5785019747363
FIWDX,2025-10,0.039,322.31403942536787
FIWDX,2025-11,0.039,322.31403942536787
FIWDX,2025-12,0.1,826.4462549368407
FIWDX,2026-01,0.04,330.5785019747363
FIWDX,2026-02,0.036,297.52065177726263
FIWDX,2026-03,0.04,330.5785019747363
FIWDX,2026-04,0.039,322.31403942536787
FIWDX,2026-05,0.043,355.3718896228415
FIWDX,2026-06,0.039,322.31403942536787
JBND,2011-01,0.1898596967657346,322.8621280701385
JBND,2011-02,0.18472835360990392,314.13612460878335
JBND,2011-03,0.1898596967657346,322.8621280701385
JBND,2011-04,0.18472835360990392,314.13612460878335
JBND,2011-05,0.1898596967657346,322.8621280701385
JBND,2011-06,0.17959701045407328,305.4101211474283
JBND,2011-07,0.17446566729824262,296.68411768607325
JBND,2011-08,0.18472835360990392,314.13612460878335
JBND,2011-09,0.18472835360990392,314.13612460878335
JBND,2011-10,0.18472835360990392,314.13612460878335
JBND,2011-11,0.17446566729824262,296.68411768607325
JBND,2011-12,0.2924865598823479,497.3821972972404
JBND,2012-01,0.1642029809865813,279.23211076336304
JBND,2012-02,0.15907163783075062,270.50610730200793
JBND,2012-03,0.1642029809865813,279.23211076336304
JBND,2012-04,0.1488089515190893,253.05410037929775
JBND,2012-05,0.1488089515190893,253.05410037929775
JBND,2012-06,0.14367760836325863,244.32809691794267
JBND,2012-07,0.15394029467491996,261.7801038406528
JBND,2012-08,0.14367760836325863,244.32809691794267
JBND,2012-09,0.13854626520742797,235.60209345658757
JBND,2012-10,0.13341492205159727,226.87608999523243
JBND,2012-11,0.13341492205159727,226.87608999523243
JBND,2012-12,0.23604178516821062,401.39615922233435
JBND,2013-01,0.12315223573993596,209.42408307252228
JBND,2013-02,0.12828357889576664,218.15008653387738
