Date,Model,Asset,Internal_Asset,Price_Basis,Shares,Price,Position_Value,Dividend_Per_Share,Dividend_Income,Year,Month
2011-09-16,MWM Aggressive,XLG,XLG,Adjusted Close,3684.7715334858085,6.900496959686279,25426.75476395737,0.0457,168.39405908030145,2011,2011-09
2011-09-16,MWM Aggressive,XLV,XLV,Adjusted Close,124.3195520616408,25.795129776000977,3206.8389791243344,0.177,22.004560714910422,2011,2011-09
2011-09-23,MWM Aggressive,VOO,VOO,Adjusted Close,333.61010009099186,79.62,26562.036169244773,0.58,193.49385805277527,2011,2011-09
2011-09-26,MWM Aggressive,IMCB,IMCB,Adjusted Close,318.2728803162327,15.536226272583008,4944.759485019722,0.07575,24.109170683954627,2011,2011-09
2011-09-30,MWM Aggressive,JBND,JBND,Adjusted Close,40.69786971765459,37.27570483585752,1517.0417790434765,0.18472835360990392,7.518050468372698,2011,2011-09
2011-09-30,MWM Aggressive,PIMIX,PIMIX,Adjusted Close,620.4890811664359,4.509235382080078,2797.93131899005,0.05,31.024454058321794,2011,2011-09
2011-10-31,MWM Aggressive,JBND,JBND,Adjusted Close,40.69786971765459,37.32653102281532,1519.11029657853,0.18472835360990392,7.518050468372698,2011,2011-10
2011-10-31,MWM Aggressive,PIMIX,PIMIX,Adjusted Close,620.4890811664359,4.5362138748168945,2814.6711791595726,0.056,34.74738854532041,2011,2011-10
2011-11-30,MWM Aggressive,JBND,JBND,Adjusted Close,40.69786971765459,37.33902328880362,1519.6187051922002,0.17446566729824262,7.100380997907549,2011,2011-11
2011-11-30,MWM Aggressive,PIMIX,PIMIX,Adjusted Close,620.4890811664359,4.496786117553711,2790.2066862828865,0.053,32.8859213018211,2011,2011-11
2011-12-07,MWM Aggressive,PIMIX,PIMIX,Adjusted Close,620.4890811664359,4.514064788818359,2800.927913139665,0.092,57.0849954673121,2011,2011-12
