Date,A1V12,EffectiveHolding,MGK Buy Hold,MGV Buy Hold,VOO Benchmark,BIL Buy Hold
2015-02-10,215448.37206577646,MGK,182733.66963905952,170472.5327881806,176229.87493654323,99720.90780841808
2015-02-11,216099.40982193587,MGK,183285.8507352354,170191.00042786312,176350.73512350116,99699.08340607274
2015-02-12,218078.34999238132,MGK,184964.29924646963,171880.02226697668,177986.04956234133,99699.08340607274
2015-02-13,219354.25643392047,MGK,186046.4660038373,172358.51957777183,178766.50642006102,99720.90780841808
2015-02-17,219614.6605869822,MGK,186267.32915551477,172668.1549133069,179054.61722415578,99720.90780841808
2015-02-18,220031.34008008707,MGK,186620.73805857738,172217.80365842723,179091.77443999477,99720.90780841808
2015-02-19,220369.75872239788,MGK,186907.76960952752,171711.1028507862,178970.98328641508,99720.90780841808
2015-02-20,221932.224701026,MGK,188232.98334506564,172527.45335419493,180058.189960355,99699.08340607274
2015-02-23,222114.49118406625,MGK,188387.57362105057,172442.92902505293,180011.69598010872,99720.90780841808
2015-02-24,222244.62482683465,MGK,188497.9471544338,173400.03852850408,180541.4063497074,99699.08340607274
2015-02-25,222270.62965658435,MGK,188520.00328752468,173062.22841658833,180346.21447272695,99720.90780841808
2015-02-26,222583.15296316546,MGK,188785.07157331274,172611.89152194126,180141.72034802832,99699.08340607274
2015-02-27,221697.85275121895,MGK,188034.19954346126,172077.04465838478,179519.1946013827,99720.90780841808
2015-03-02,223520.49020811633,MGK,189580.07908632816,172696.34404992018,180699.26842740324,99699.08340607274
2015-03-03,222478.92834287926,MGK,188696.67291358268,171964.47479495563,179928.09655905716,99720.90780841808
2015-03-04,221723.88495447364,MGK,188056.27889353436,171176.2272667645,179175.49466945828,99720.90780841808
2015-03-05,221880.0781740017,MGK,188188.75499397286,171485.848242067,179370.53122133767,99720.90780841808
2015-03-06,218885.56728131635,MGK,185648.94483459293,169036.8972534691,176833.7961877525,99699.08340607274
2015-03-09,219692.83931726133,MGK,186333.63685668065,169825.11606119497,177586.4843690742,99720.90780841808
